,Yr,Lg,Series,Unnamed: 3_level_1,Unnamed: 4_level_1,Team,W,Unnamed: 7_level_1,Team,W,Unnamed: 10_level_1,Favorite,Underdog
122,2017,NBA,Western Conf Semifinals,"May 2 - May 8, 2017",,Golden State Warriors (1),4,,Utah Jazz (5),0,,GSW (-3200),UTA (+1600)
123,2017,NBA,Western Conf Semifinals,"May 1 - May 11, 2017",,San Antonio Spurs (2),4,,Houston Rockets (3),2,,SAS (-300),HOU (+250)
124,2017,NBA,Western Conf Finals,"May 14 - May 22, 2017",,Golden State Warriors (1),4,,San Antonio Spurs (2),0,,GSW (-1050),SAS (+675)
125,2017,NBA,Eastern Conf Finals,"May 17 - May 25, 2017",,Cleveland Cavaliers (2),4,,Boston Celtics (1),1,,CLE (-700),BOS (+500)
126,2017,NBA,Finals,"Jun 1 - Jun 12, 2017",,Golden State Warriors (1),4,,Cleveland Cavaliers (2),1,,GSW (-300),CLE (+250)
127,,,,,,,,,,,,,
128,2016,NBA,Eastern Conf First Round,"Apr 17 - Apr 24, 2016",,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0,,CLE (-1700),DET (+1100)
129,2016,NBA,Eastern Conf First Round,"Apr 16 - May 1, 2016",,Toronto Raptors (2),4,,Indiana Pacers (7),3,,TOR (-400),IND (+325)
130,2016,NBA,Eastern Conf First Round,"Apr 17 - May 1, 2016",,Miami Heat (3),4,,Charlotte Hornets (6),3,,MIA (-170),CHO (+150)
131,2016,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2016",,Atlanta Hawks (4),4,,Boston Celtics (5),2,,ATL (-165),BOS (+145)
132,2016,NBA,Western Conf First Round,"Apr 16 - Apr 27, 2016",,Golden State Warriors (1),4,,Houston Rockets (8),1,,GSW (-10000),HOU (+4000)
133,2016,NBA,Western Conf First Round,"Apr 17 - Apr 24, 2016",,San Antonio Spurs (2),4,,Memphis Grizzlies (7),0,,SAS (-17000),MEM (+6625)
134,2016,NBA,Western Conf First Round,"Apr 16 - Apr 25, 2016",,Oklahoma City Thunder (3),4,,Dallas Mavericks (6),1,,OKC (-3500),DAL (+1750)
135,2016,NBA,Western Conf First Round,"Apr 17 - Apr 29, 2016",,Portland Trail Blazers (5),4,,Los Angeles Clippers (4),2,,LAC (-525),POR (+415)
136,2016,NBA,Eastern Conf Semifinals,"May 2 - May 8, 2016",,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0,,CLE (-500),ATL (+400)
137,2016,NBA,Eastern Conf Semifinals,"May 3 - May 15, 2016",,Toronto Raptors (2),4,,Miami Heat (3),3,,TOR (-145),MIA (+125)
138,2016,NBA,Western Conf Semifinals,"May 1 - May 11, 2016",,Golden State Warriors (1),4,,Portland Trail Blazers (5),1,,GSW (-1600),POR (+1050)
139,2016,NBA,Western Conf Semifinals,"Apr 30 - May 12, 2016",,Oklahoma City Thunder (3),4,,San Antonio Spurs (2),2,,SAS (-270),OKC (+230)
140,2016,NBA,Eastern Conf Finals,"May 17 - May 27, 2016",,Cleveland Cavaliers (1),4,,Toronto Raptors (2),2,,CLE (-1350),TOR (+885)
141,2016,NBA,Western Conf Finals,"May 16 - May 30, 2016",,Golden State Warriors (1),4,,Oklahoma City Thunder (3),3,,GSW (-430),OKC (+345)
142,2016,NBA,Finals,"Jun 2 - Jun 19, 2016",,Cleveland Cavaliers (1),4,,Golden State Warriors (1),3,,GSW (-220),CLE (+180)
143,,,,,,,,,,,,,
144,2015,NBA,Eastern Conf First Round,"Apr 19 - May 1, 2015",,Atlanta Hawks (1),4,,Brooklyn Nets (8),2,,ATL (-1350),BRK (+900)
145,2015,NBA,Eastern Conf First Round,"Apr 19 - Apr 26, 2015",,Cleveland Cavaliers (2),4,,Boston Celtics (7),0,,CLE (-5000),BOS (+2100)
146,2015,NBA,Eastern Conf First Round,"Apr 18 - Apr 30, 2015",,Chicago Bulls (3),4,,Milwaukee Bucks (6),2,,CHI (-950),MIL (+700)
147,2015,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2015",,Washington Wizards (5),4,,Toronto Raptors (4),0,,TOR (-175),WAS (+155)
148,2015,NBA,Western Conf First Round,"Apr 18 - Apr 25, 2015",,Golden State Warriors (1),4,,New Orleans Pelicans (8),0,,GSW (-3000),NOP (+1500)
149,2015,NBA,Western Conf First Round,"Apr 18 - Apr 28, 2015",,Houston Rockets (2),4,,Dallas Mavericks (7),1,,HOU (-260),DAL (+220)
150,2015,NBA,Western Conf First Round,"Apr 19 - May 2, 2015",,Los Angeles Clippers (3),4,,San Antonio Spurs (6),3,,SAS (-180),LAC (+160)
151,2015,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2015",,Memphis Grizzlies (5),4,,Portland Trail Blazers (4),1,,MEM (-225),POR (+195)
152,2015,NBA,Eastern Conf Semifinals,"May 4 - May 14, 2015",,Cleveland Cavaliers (2),4,,Chicago Bulls (3),2,,CLE (-240),CHI (+200)
153,2015,NBA,Eastern Conf Semifinals,"May 3 - May 15, 2015",,Atlanta Hawks (1),4,,Washington Wizards (5),2,,ATL (-245),WAS (+205)
154,2015,NBA,Western Conf Semifinals,"May 4 - May 17, 2015",,Houston Rockets (2),4,,Los Angeles Clippers (3),3,,HOU (-150),LAC (+130)
155,2015,NBA,Western Conf Semifinals,"May 3 - May 15, 2015",,Golden State Warriors (1),4,,Memphis Grizzlies (5),2,,GSW (-1000),MEM (+725)
156,2015,NBA,Eastern Conf Finals,"May 20 - May 26, 2015",,Cleveland Cavaliers (2),4,,Atlanta Hawks (1),0,,CLE (-190),ATL (+165)
157,2015,NBA,Western Conf Finals,"May 19 - May 27, 2015",,Golden State Warriors (1),4,,Houston Rockets (2),1,,GSW (-880),HOU (+665)
158,2015,NBA,Finals,"Jun 4 - Jun 16, 2015",,Golden State Warriors (1),4,,Cleveland Cavaliers (2),2,,GSW (-220),CLE (+190)
159,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
160,2014,NBA,Eastern Conf First Round,"Apr 19 - May 3, 2014",,Indiana Pacers (1),4,,Atlanta Hawks (8),3,,IND (-600),ATL (+440)
161,2014,NBA,Eastern Conf First Round,"Apr 20 - Apr 28, 2014",,Miami Heat (2),4,,Charlotte Bobcats (7),0,,MIA (-2500),CHA (+1000)
162,2014,NBA,Eastern Conf First Round,"Apr 19 - May 4, 2014",,Brooklyn Nets (6),4,,Toronto Raptors (3),3,,BRK (-130),TOR (+110)
163,2014,NBA,Eastern Conf First Round,"Apr 20 - Apr 29, 2014",,Washington Wizards (5),4,,Chicago Bulls (4),1,,CHI (-180),WAS (+160)
164,2014,NBA,Western Conf First Round,"Apr 20 - May 4, 2014",,San Antonio Spurs (1),4,,Dallas Mavericks (8),3,,SAS (-875),DAL (+585)
165,2014,NBA,Western Conf First Round,"Apr 19 - May 3, 2014",,Oklahoma City Thunder (2),4,,Memphis Grizzlies (7),3,,OKC (-500),MEM (+375)
166,2014,NBA,Western Conf First Round,"Apr 19 - May 3, 2014",,Los Angeles Clippers (3),4,,Golden State Warriors (6),3,,LAC (-400),GSW (+285)
167,2014,NBA,Western Conf First Round,"Apr 20 - May 2, 2014",,Portland Trail Blazers (5),4,,Houston Rockets (4),2,,HOU (-200),POR (+170)
168,2014,NBA,Eastern Conf Semifinals,"May 5 - May 15, 2014",,Indiana Pacers (1),4,,Washington Wizards (5),2,,IND (-165),WAS (+145)
169,2014,NBA,Eastern Conf Semifinals,"May 6 - May 14, 2014",,Miami Heat (2),4,,Brooklyn Nets (6),1,,MIA (-620),BRK (+450)
170,2014,NBA,Western Conf Semifinals,"May 6 - May 14, 2014",,San Antonio Spurs (1),4,,Portland Trail Blazers (5),1,,SAS (-410),POR (+320)
171,2014,NBA,Western Conf Semifinals,"May 5 - May 15, 2014",,Oklahoma City Thunder (2),4,,Los Angeles Clippers (3),2,,OKC (-205),LAC (+175)
172,2014,NBA,Eastern Conf Finals,"May 18 - May 30, 2014",,Miami Heat (2),4,,Indiana Pacers (1),2,,MIA (-380),IND (+300)
173,2014,NBA,Western Conf Finals,"May 19 - May 31, 2014",,San Antonio Spurs (1),4,,Oklahoma City Thunder (2),2,,SAS (-245),OKC (+205)
